Material, Thickness (cm), Dose (rad), High Risk Events
HDPE,14.0,1.76228e-18,111726
HDPE,14.5,1.76201e-18,110611
HDPE,15.0,1.7707100000000003e-18,111954
Composite (27H:13S),2.0,1.60673e-18,99574
Composite (27H:13S),2.5,1.6172900000000001e-18,100415
Composite (27H:13S),3.0,1.6364600000000002e-18,103729
Composite (27H:13S),3.5,1.6441e-18,102856
Composite (27H:13S),4.0,1.6585800000000001e-18,104539
Composite (27H:13S),4.5,1.67332e-18,107556
Composite (27H:13S),5.0,1.6820200000000002e-18,108388
Composite (27H:13S),5.5,1.6883500000000001e-18,108454
Composite (27H:13S),6.0,1.69574e-18,109093
Composite (27H:13S),6.5,1.7037400000000001e-18,110949
Composite (27H:13S),7.0,1.7104300000000002e-18,110844
Composite (27H:13S),7.5,1.7214e-18,111913
Composite (27H:13S),8.0,1.7334200000000002e-18,112942
Composite (27H:13S),8.5,1.7408500000000003e-18,114919
Composite (27H:13S),9.0,1.74537e-18,114166
Composite (27H:13S),9.5,1.75096e-18,115832
Composite (27H:13S),10.0,1.75259e-18,116098
Composite (27H:13S),10.5,1.7624300000000003e-18,116500
Composite (27H:13S),11.0,1.7674e-18,116544
Composite (27H:13S),11.5,1.76553e-18,115009
Composite (27H:13S),12.0,1.78288e-18,118069
Composite (27H:13S),12.5,1.77713e-18,116259
Composite (27H:13S),13.0,1.7841200000000003e-18,117383
Composite (27H:13S),13.5,1.78942e-18,118038
Composite (27H:13S),14.0,1.7937600000000003e-18,117796
Composite (27H:13S),14.5,1.79604e-18,117279
Composite (27H:13S),15.0,1.80663e-18,119299
Aluminum Wall 6mm (BaseLine),2.0,1.25218e-21,1693
Aluminum Wall 6mm (BaseLine),2.5,1.17098e-21,1617
Aluminum Wall 6mm (BaseLine),3.0,1.1923199999999999e-21,1621
Aluminum Wall 6mm (BaseLine),3.5,1.2459699999999999e-21,1610
Aluminum Wall 6mm (BaseLine),4.0,1.1516e-21,1686
Aluminum Wall 6mm (BaseLine),4.5,1.1324899999999999e-21,1522
Aluminum Wall 6mm (BaseLine),5.0,1.06564e-21,1440
Aluminum Wall 6mm (BaseLine),5.5,9.565e-22,1359
Aluminum Wall 6mm (BaseLine),6.0,1.0491399999999999e-21,1396
Aluminum Wall 6mm (BaseLine),6.5,9.31233e-22,1346
Aluminum Wall 6mm (BaseLine),7.0,1.00228e-21,1319
Aluminum Wall 6mm (BaseLine),7.5,9.97959e-22,1235
Aluminum Wall 6mm (BaseLine),8.0,9.16539e-22,1268
Aluminum Wall 6mm (BaseLine),8.5,8.76326e-22,1203
Aluminum Wall 6mm (BaseLine),9.0,9.14092e-22,1178
Aluminum Wall 6mm (BaseLine),9.5,8.97687e-22,1202
Aluminum Wall 6mm (BaseLine),10.0,8.44035e-22,1198
Aluminum Wall 6mm (BaseLine),10.5,7.90729e-22,1140
Aluminum Wall 6mm (BaseLine),11.0,7.32011e-22,1076
Aluminum Wall 6mm (BaseLine),11.5,7.23044e-22,996
Aluminum Wall 6mm (BaseLine),12.0,7.51742e-22,1065
Aluminum Wall 6mm (BaseLine),12.5,7.76889e-22,1099
Aluminum Wall 6mm (BaseLine),13.0,6.82365e-22,976
Aluminum Wall 6mm (BaseLine),13.5,7.02452e-22,997
Aluminum Wall 6mm (BaseLine),14.0,7.00225e-22,949
Aluminum Wall 6mm (BaseLine),14.5,6.37169e-22,1010
Aluminum Wall 6mm (BaseLine),15.0,7.10037e-22,996
HDPE,2.0,4.1722200000000003e-19,343637
HDPE,2.5,7.079429999999999e-22,906
HDPE,3.0,6.95121e-22,938
HDPE,3.5,6.24415e-22,810
HDPE,4.0,5.50388e-22,736
HDPE,4.5,5.61911e-22,767
HDPE,5.0,5.29474e-22,717
HDPE,5.5,5.28497e-22,649
HDPE,6.0,4.87951e-22,708
HDPE,6.5,4.65765e-22,684
HDPE,7.0,4.3457e-22,687
HDPE,7.5,3.86682e-22,564
HDPE,8.0,4.33174e-22,555
HDPE,8.5,4.1631999999999996e-22,623
HDPE,9.0,3.5265399999999997e-22,568
HDPE,9.5,3.3642e-22,498
HDPE,10.0,3.11626e-22,454
HDPE,10.5,2.8179e-22,430
HDPE,11.0,2.89227e-22,469
HDPE,11.5,2.32076e-22,462
HDPE,12.0,2.47093e-22,424
HDPE,12.5,2.4003499999999998e-22,420
HDPE,13.0,2.25265e-22,402
HDPE,13.5,2.08738e-22,403
HDPE,14.0,1.9139999999999998e-22,382
HDPE,14.5,2.01674e-22,299
HDPE,15.0,1.89644e-22,355
Composite (27H:13S),2.0,9.77902e-22,1037
Composite (27H:13S),2.5,9.05381e-22,1043
Composite (27H:13S),3.0,8.04224e-22,974
Composite (27H:13S),3.5,7.36682e-22,967
Composite (27H:13S),4.0,7.081649999999999e-22,921
Composite (27H:13S),4.5,6.21917e-22,885
Composite (27H:13S),5.0,6.14892e-22,789
Composite (27H:13S),5.5,5.92896e-22,890
Composite (27H:13S),6.0,5.36305e-22,863
Composite (27H:13S),6.5,5.49093e-22,828
Composite (27H:13S),7.0,5.15797e-22,759
Composite (27H:13S),7.5,4.83299e-22,695
Composite (27H:13S),8.0,4.66969e-22,590
Composite (27H:13S),8.5,4.00266e-22,570
Composite (27H:13S),9.0,4.3108799999999995e-22,631
Composite (27H:13S),9.5,3.74415e-22,594
Composite (27H:13S),10.0,3.64808e-22,535
Composite (27H:13S),10.5,3.55413e-22,596
